,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,CriticalCases,Totcase1M,Totdeath1M,TotalTests,Tottest1M
0,,"
North America
","6,571,599","+10,820","247,576",+269,"3,587,945","+6,176","2,736,078","24,086",,
1,,"
South America
","5,284,188","+1,198","176,120",+55,"3,819,527",+853,"1,288,541","14,853",,
2,,"
Asia
","5,696,577","+36,898","120,731",+585,"4,421,779","+34,080","1,154,067","18,813",,
3,,"
Europe
","3,177,555","+11,541","203,293",+173,"1,915,237","+4,683","1,059,025","5,217",,
4,,"
Africa
","1,123,768",+626,"25,706",+28,"839,426",+974,"258,636","1,210",,
5,,"
Oceania
","25,740",+290,447,+25,"16,286",+459,"9,007",57,,
6,,"

",721,,15,,651,,55,4,,
60,53,Armenia,"41,701",+38,824 ,+6,"34,655",+71,"6,222",,"14,069",278
61,54,Algeria,"38,583",,"1,370 ",,"27,017",,"10,196",40,878,31
62,55,Switzerland,"38,252",+128,"1,991 ",,"33,300",,"2,961",21,"4,416",230
63,56,Afghanistan,"37,599",+3,"1,375 ",,"27,166",,"9,058",31,963,35
64,57,Uzbekistan,"35,513",+184,234 ,+2,"30,973",,"4,306",410,"1,059",7
65,58,Azerbaijan,"34,343",+124,508 ,+2,"32,042",+167,"1,793",,"3,383",50
66,59,Venezuela,"33,755",,281 ,,"22,700",,"10,774",85,"1,187",10
67,60,Moldova,"30,377",+194,908 ,+12,"21,220",,"8,249",362,"7,533",225
68,61,Kenya,"30,365",+245,482 ,+8,"17,160",+504,"12,723",44,563,9
69,62,Ethiopia,"29,876",,528 ,,"12,359",,"16,989",217,259,5
70,63,Serbia,"29,782",+100,677 ,+3,"27,208",+147,"1,897",68,"3,410",78
71,64,Costa Rica,"28,465",,294 ,,"9,062",,"19,109",102,"5,581",58
72,65,Ireland,"27,257",,"1,774 ",,"23,364",,"2,119",8,"5,512",359
73,66,Nepal,"27,241",+581,107 ,+3,"17,495",+160,"9,639",,933,4
74,67,Australia,"23,559",+271,421 ,+25,"14,539",+459,"8,599",51,923,16
75,68,Austria,"23,534",+164,729 ,+1,"20,765",+84,"2,040",23,"2,611",81
76,69,El Salvador,"22,912",,618 ,+6,"10,814",+7,"11,480",435,"3,530",95
77,70,Czechia,"20,012",,397 ,,"13,799",,"5,816",26,"1,868",37
78,71,Cameroon,"18,469",,401 ,,"16,540",,"1,528",30,694,15
79,72,Ivory Coast,"17,026",,110 ,,"13,947",,"2,969",,644,4
80,73,Palestine,"16,844",+310,110 ,,"9,838",,"6,896",,"3,293",22
81,74,Bosnia and Herzegovina,"16,111",+310,486 ,+15,"9,856",+237,"5,769",,"4,915",148
82,75,Denmark,"15,740",+123,621 ,,"13,417",+77,"1,702",1,"2,716",107
83,76,S. Korea,"15,515",+197,305 ,,"13,917",+7,"1,293",13,303,6
84,77,Bulgaria,"14,365",,498 ,,"9,186",,"4,681",56,"2,069",72
85,78,Madagascar,"13,886",+59,171 ,+1,"12,603",+179,"1,112",90,500,6
86,79,North Macedonia,"12,739",,544 ,,"9,174",,"3,021",4,"6,115",261
87,80,Sudan,"12,410",+96,803 ,+5,"6,385",+35,"5,222",,282,18
88,81,Senegal,"12,237",+75,256 ,+3,"7,728",+51,"4,253",55,729,15
89,82,Norway,"10,035",+30,261 ,,"8,857",,917,1,"1,849",48
90,83,Paraguay,"9,791",,138 ,,"6,034",,"3,619",46,"1,371",19
91,84,DRC,"9,706",+30,243 ,+3,"8,705",,758,,108,3
92,85,Zambia,"9,343",,260 ,,"8,412",,671,,507,14
93,86,Malaysia,"9,212",+12,125 ,,"8,876",+17,211,8,284,4
94,87,Lebanon,"8,881",,103 ,,"2,724",,"6,054",68,"1,302",15
95,88,French Guiana,"8,588",,53 ,,"7,893",,642,15,"28,665",177
96,89,Guinea,"8,482",,51 ,,"7,364",,"1,067",24,644,4
97,90,Gabon,"8,225",,51 ,,"6,277",,"1,897",1,"3,685",23
98,91,Libya,"8,172",,153 ,,933,,"7,086",,"1,187",22
99,92,Tajikistan,"8,065",,64 ,,"6,855",,"1,146",,843,7
100,93,Haiti,"7,879",,196 ,,"5,235",,"2,448",,690,17
101,94,Finland,"7,752",+21,334 ,+1,"7,050",,368,,"1,399",60
102,95,Luxembourg,"7,458",,123 ,,"6,500",,835,3,"11,890",196
103,96,Albania,"7,380",,228 ,,"3,794",,"3,358",15,"2,565",79
104,97,Greece,"7,075",,228 ,,"3,804",,"3,043",24,679,22
105,98,Mauritania,"6,701",,157 ,,"5,985",,559,3,"1,437",34
106,99,Croatia,"6,656",+85,166 ,,"5,254",+34,"1,236",11,"1,623",40
107,100,Maldives,"5,785",,22 ,,"3,349",,"2,414",12,"10,679",41
108,101,Djibouti,"5,369",,59 ,,"5,202",,108,,"5,424",60
109,102,Zimbabwe,"5,261",,132 ,,"2,092",,"3,037",,353,9
110,103,Malawi,"5,072",,161 ,,"2,626",,"2,285",4,264,8
111,104,Hungary,"4,946",+30,608 ,,"3,630",+7,708,6,512,63
112,105,Equatorial Guinea,"4,821",,83 ,,"2,182",,"2,556",,"3,423",59
113,106,CAR,"4,652",,61 ,,"1,728",,"2,863",2,961,13
114,107,Hong Kong,"4,525",+44,69 ,,"3,599",+51,857,29,603,9
115,108,Namibia,"4,154",,35 ,,"2,370",,"1,749",14,"1,631",14
116,109,Nicaragua,"4,115",,128 ,,"2,913",,"1,074",,620,19
117,110,Montenegro,"4,035",,77 ,,"2,910",,"1,048",,"6,424",123
118,111,Eswatini,"3,839",,70 ,,"2,268",,"1,501",11,"3,305",60
119,112,Congo,"3,831",,76 ,,"1,625",,"2,130",,692,14
